Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.138127E+03,0.000000E+00,1.103435E-01,0.000000E+00,7.455861E+03,0.000000E+00,3.846940E-01,0.000000E+00,3.003009E+03,0.000000E+00,1.547396E-01,0.000000E+00,1.022440E+03,9.667002E+02,5.275862E-02,7.461043E-02,1.475832E+04,9.825945E+02,7.616007E-01,7.580890E-02
00:20:00,2.138130E+03,0.000000E+00,1.103437E-01,0.000000E+00,7.455868E+03,0.000000E+00,3.846943E-01,0.000000E+00,3.003011E+03,0.000000E+00,1.547396E-01,0.000000E+00,1.022442E+03,9.661319E+02,5.275873E-02,7.456679E-02,1.475833E+04,9.833385E+02,7.616010E-01,7.586638E-02
00:30:00,2.138133E+03,0.000000E+00,1.103438E-01,0.000000E+00,7.455875E+03,0.000000E+00,3.846947E-01,0.000000E+00,3.003012E+03,0.000000E+00,1.547397E-01,0.000000E+00,1.022444E+03,9.652017E+02,5.275882E-02,7.449445E-02,1.475834E+04,9.547659E+02,7.616013E-01,7.366207E-02
00:40:00,2.138136E+03,0.000000E+00,1.103439E-01,0.000000E+00,7.455881E+03,0.000000E+00,3.846950E-01,0.000000E+00,3.003013E+03,0.000000E+00,1.547398E-01,0.000000E+00,1.022446E+03,9.639701E+02,5.275890E-02,7.439813E-02,1.475834E+04,9.222777E+02,7.616016E-01,7.115554E-02
00:50:00,2.138138E+03,0.000000E+00,1.103441E-01,0.000000E+00,7.455887E+03,0.000000E+00,3.846953E-01,0.000000E+00,3.003014E+03,0.000000E+00,1.547398E-01,0.000000E+00,1.022447E+03,9.624576E+02,5.275898E-02,7.427966E-02,1.475835E+04,8.867498E+02,7.616018E-01,6.841445E-02
01:00:00,2.138140E+03,0.000000E+00,1.103442E-01,0.000000E+00,7.455892E+03,0.000000E+00,3.846956E-01,0.000000E+00,3.003015E+03,0.000000E+00,1.547399E-01,0.000000E+00,1.022448E+03,9.606904E+02,5.275905E-02,7.414133E-02,1.475835E+04,8.489763E+02,7.616020E-01,6.550009E-02
01:10:00,2.138143E+03,0.000000E+00,1.103443E-01,0.000000E+00,7.455898E+03,0.000000E+00,3.846959E-01,0.000000E+00,3.003016E+03,0.000000E+00,1.547399E-01,0.000000E+00,1.022450E+03,9.597486E+02,5.275914E-02,7.406665E-02,1.475836E+04,8.104435E+02,7.616025E-01,6.252714E-02
01:20:00,2.138146E+03,0.000000E+00,1.103445E-01,0.000000E+00,7.455903E+03,0.000000E+00,3.846962E-01,0.000000E+00,3.003017E+03,0.000000E+00,1.547400E-01,0.000000E+00,1.022452E+03,9.586548E+02,5.275922E-02,7.398021E-02,1.475837E+04,7.714543E+02,7.616029E-01,5.951897E-02
01:30:00,2.138148E+03,0.000000E+00,1.103446E-01,0.000000E+00,7.455909E+03,0.000000E+00,3.846964E-01,0.000000E+00,3.003018E+03,0.000000E+00,1.547400E-01,0.000000E+00,1.022453E+03,9.573750E+02,5.275930E-02,7.387997E-02,1.475838E+04,7.323649E+02,7.616033E-01,5.650307E-02
01:40:00,2.138151E+03,0.000000E+00,1.103447E-01,0.000000E+00,7.455913E+03,0.000000E+00,3.846967E-01,0.000000E+00,3.003019E+03,0.000000E+00,1.547401E-01,0.000000E+00,1.022455E+03,9.559273E+02,5.275938E-02,7.376747E-02,1.475838E+04,6.934002E+02,7.616037E-01,5.349679E-02
